Date,Open,High,Low,Close,Adj Close,Volume
2019-12-18,80.000000,82.169998,79.800003,80.940002,80.940002,1496100
2019-12-19,81.389999,82.930000,80.489998,82.720001,82.720001,909800
2019-12-20,83.129997,84.000000,81.199997,81.430000,81.430000,804200
2019-12-23,81.580002,83.105003,81.459999,82.790001,82.790001,636600
2019-12-24,83.000000,83.779999,82.000000,82.559998,82.559998,229500
2019-12-26,82.930000,83.519997,81.889999,82.519997,82.519997,395700
2019-12-27,83.000000,84.070000,82.129997,83.349998,83.349998,570400
2019-12-30,83.519997,83.900002,81.794998,83.250000,83.250000,695500
2019-12-31,82.820000,84.400002,82.379997,83.720001,83.720001,763400
2020-01-02,84.000000,84.500000,81.949997,83.260002,83.260002,1417300
2020-01-03,81.610001,83.519997,81.300003,82.959999,82.959999,551600
2020-01-06,82.370003,86.959999,82.275002,86.940002,86.940002,1038100
2020-01-07,86.970001,87.199997,85.410004,85.730003,85.730003,970000
2020-01-08,86.230003,87.419998,86.000000,86.220001,86.220001,949200
2020-01-09,86.000000,86.440002,85.175003,85.370003,85.370003,983600
2020-01-10,85.919998,86.194000,84.779999,85.160004,85.160004,1118800
2020-01-13,89.040001,98.974998,88.629997,95.970001,95.970001,4249000
2020-01-14,95.720001,98.949997,94.339996,96.870003,96.870003,1878200
2020-01-15,96.739998,96.860001,93.150002,94.000000,94.000000,1565200
2020-01-16,94.050003,97.339996,94.040001,96.910004,96.910004,1053400
